,Step,Global_Price,Total_Processor_Inventory,Total_Mine_Output,Total_Recycled_Supply,Disrupted_Mines_Count,Total_Consumer_Demand,Fulfilled_Demand,Unfulfilled_Demand,Avg_Manufacturer_Intensity,Total_Reserves
23,23,18742.5,13309.846153846154,818.8000000000001,0.0,2,28458.83734119717,23077.103365384577,5381.733975812625,0.08,89566135.76923072
24,24,18742.5,13309.846153846154,1107.2615384615385,0.0,1,28458.83734119717,9960.593069419036,18498.244271778196,0.08,89562366.53846149
25,25,18742.5,13309.846153846154,1634.6153846153848,466.9574942307694,1,28458.83734119717,22499.444912222352,5959.392428974854,0.08,89556828.07692304
26,26,18742.5,13309.846153846154,2257.476923076923,449.0822713726809,1,28458.83734119717,22240.30165782523,6218.535683371976,0.08,89551289.61538456
27,27,18742.5,13309.846153846154,0.0,431.89131549000876,1,28458.83734119717,28458.83734119717,0.0,0.08,89545751.1538461
28,28,18742.5,14374.633846153847,1691.876923076923,52.94140159884951,1,28458.83734119717,21671.12491100129,6787.712430195921,0.08,89540212.69230764
29,29,18742.5,14374.633846153847,734.1846153846154,0.0,0,28458.83734119717,25939.95051218085,2518.8868290163336,0.08,89534674.23076919
30,30,18742.5,14374.633846153847,1552.8153846153846,87.55453016826918,0,28458.83734119717,14807.077123760851,13651.760217436395,0.08,89529128.46153842
31,31,18742.5,14755.851907836895,3253.2461538461544,173.93279326627106,0,28458.83734119717,26492.163846328225,1966.6734948689557,0.08,89523582.69230765
32,32,18742.5,13309.846153846154,83.15384615384642,152.8220704741857,0,28458.83734119717,27932.069126064645,526.7682151325275,0.08,89518036.92307684
33,33,18742.5,13309.846153846154,0.0,431.89131549000876,1,28458.83734119717,17929.067524954255,10529.76981624298,0.08,89512498.46153836
34,34,18742.5,13309.846153846154,230.76923076923077,345.64745382241824,1,28458.83734119717,19385.93621736724,9072.901123829984,0.08,89506959.99999991
35,35,18742.5,13309.846153846154,2211.5384615384614,181.52307088119363,2,28458.83734119717,15660.842243996769,12797.995097200477,0.08,89501652.30769221
36,36,18742.5,13309.846153846154,1630.5538461538463,431.89131549000876,3,28458.83734119717,28458.83734119717,0.0,0.08,89496525.3846153
37,37,18742.5,13309.846153846154,1076.923076923077,431.89131549000876,3,28458.83734119717,28458.83734119717,0.0,0.08,89491398.46153836
38,38,18742.5,13309.846153846154,0.0,355.5667808310952,1,28458.83734119717,20876.731735133362,7582.105606063855,0.08,89486271.53846145
39,39,18742.5,13309.846153846154,1769.2307692307693,233.47874711538446,0,28458.83734119717,11098.946563066926,17359.890778130313,0.08,89480906.53846145
40,40,18742.5,14830.219478291901,0.0,250.4969629842053,0,28458.83734119717,28458.83734119717,0.0,0.08,89475360.76923068
41,41,18742.5,14471.566229848451,1583.8,324.30464174367626,0,28458.83734119717,28458.83734119717,0.0,0.08,89469814.99999991
42,42,18742.5,14374.633846153847,1515.1692307692308,431.89131549000876,0,28458.83734119717,18867.649708573,9591.187632624229,0.08,89464269.23076914
43,43,18742.5,14374.633846153847,1126.323076923077,394.17956247441646,0,28458.83734119717,25353.810352680342,3105.0269885168454,0.08,89458723.46153837
44,44,18742.5,13309.846153846154,295.12307692307706,285.3057049741857,0,28458.83734119717,21938.749871736694,6520.087469460515,0.08,89453177.6923076
45,45,18742.5,14543.759820148807,2049.5692307692307,268.03005235458534,0,28458.83734119717,20239.701337603154,8219.136003594067,0.08,89447631.92307682
