,Step,Global_Price,Total_Processor_Inventory,Total_Mine_Output,Total_Recycled_Supply,Disrupted_Mines_Count,Mothballed_Mines_Count,Total_Consumer_Demand_Units,Fulfilled_Demand_Units,Unfulfilled_Demand_Units,Avg_Manufacturer_Intensity,Total_Reserves,Embargoed_Mines_Count,Total_Embargoed_Production,Total_Domestic_Stockpile
18,18,65486237.65145811,5.815384615384614,3.4615384615384612,0.0,0,0,65080.70788737383,48076.923076923085,17003.784810450707,5e-05,34544.92307692307,0,0,0
19,19,65486237.65145811,5.815384615384614,3.4615384615384612,0.0,0,0,65080.70788737383,45615.38461538462,19465.323271989175,5e-05,34541.46153846154,0,0,0
20,20,65486237.65145811,5.815384615384614,3.4615384615384612,0.0,0,0,65080.70788737383,48076.923076923085,17003.784810450707,4.849999999999999e-05,34538.0,0,0,0
21,21,65486237.65145811,5.815384615384614,3.4615384615384612,0.0,0,0,65080.70788737383,47230.769230769234,17849.938656604558,4.849999999999999e-05,34534.53846153846,0,0,0
22,22,65486237.65145811,5.815384615384614,3.4615384615384612,0.0,0,0,65080.70788737383,48076.923076923085,17003.784810450707,4.849999999999999e-05,34531.07692307692,0,0,0
23,23,65486237.65145811,5.815384615384614,3.4615384615384612,0.0,0,0,65080.70788737383,48076.923076923085,17003.784810450707,4.849999999999999e-05,34527.615384615376,0,0,0
24,24,65486237.65145811,5.815384615384614,3.4615384615384612,0.0,0,0,65080.70788737383,48076.923076923085,17003.784810450707,4.849999999999999e-05,34524.15384615385,0,0,0
25,25,62211925.768885195,5.815384615384614,3.4615384615384612,3.0649038461538463,0,0,65080.70788737383,65080.70788737383,0.0,4.849999999999999e-05,34520.692307692305,0,0,0
26,26,59101329.48044093,5.815384615384614,3.4615384615384612,2.9910398870417763,0,0,66771.39743082295,36029.52208883559,30741.875341987452,4.849999999999999e-05,34517.230769230766,0,0,0
27,27,56146263.006418884,5.815384615384614,3.4615384615384612,2.9189560439560416,0,0,68506.0083024988,48076.92307692311,20429.085225575633,4.849999999999999e-05,34513.769230769234,0,0,0
28,28,53338949.85609794,5.815384615384614,3.346153846153846,1.7522636843867851,1,0,70285.6815061294,70285.6815061294,0.0,4.849999999999999e-05,34510.42307692307,0,0,0
29,29,50672002.36329304,5.815384615384614,3.346153846153846,0.0,1,0,72111.58768684072,53673.47789117434,18438.10979566643,4.849999999999999e-05,34507.076923076915,0,0,0
30,30,48138402.245128386,5.815384615384614,3.346153846153846,0.0,1,0,73984.92790118903,61918.74469713424,12066.183204054776,4.849999999999999e-05,34503.730769230766,0,0,0
31,31,45731482.13287196,5.815384615384614,3.346153846153846,0.7662259615384613,1,0,75906.93440720085,75906.93440720085,0.0,4.849999999999999e-05,34500.38461538462,0,0,0
32,32,43444908.02622836,5.815384615384614,3.346153846153846,0.7662259615384617,0,0,77878.87147493556,77878.87147493556,0.0,4.7e-05,34497.03846153846,0,0,0
33,33,41272662.62491694,5.815384615384614,3.4615384615384612,1.532451923076922,0,0,79902.03621810606,79902.03621810606,0.0,4.7e-05,34493.57692307692,0,0,0
34,34,39209029.49367109,5.815384615384614,3.4615384615384612,0.9390865384615387,0,0,81977.75944730072,72802.54251514208,9175.21693215868,4.7e-05,34490.11538461538,0,0,0
35,35,37248578.01898754,5.815384615384614,3.4615384615384612,1.5324519230769222,0,0,84107.40654537466,42067.30769230768,42040.09885306708,4.7e-05,34486.653846153844,0,0,0
36,36,35386149.118038155,5.815384615384614,3.4038461538461537,2.298677884615382,1,0,86292.37836557982,84134.61538461548,2157.762980964325,4.7e-05,34483.25,0,0,0
