,Step,Global_Price,Total_Processor_Inventory,Total_Mine_Output,Total_Recycled_Supply,Disrupted_Mines_Count,Mothballed_Mines_Count,Total_Consumer_Demand_Units,Fulfilled_Demand_Units,Unfulfilled_Demand_Units,Avg_Manufacturer_Intensity,Total_Reserves,Embargoed_Mines_Count,Total_Embargoed_Production,Total_Domestic_Stockpile,Closed_Chokepoints_Count,Total_In_Transit
14,14,14394.091498880487,14699.230769230771,3558.786201178254,0.0,3,7,428312.8435963781,361267.16364916356,67045.67994721433,0.008000000000000002,27858170.109601986,0,0,0,0,408054.941076955
15,15,15113.796073824513,14699.230769230771,3777.420388602014,0.0,3,6,411916.94541108457,131723.43614650494,280193.50926457974,0.008000000000000002,27854392.689213384,0,0,0,0,395355.1894980505
16,16,15869.485877515739,14699.230769230771,3950.1854290527835,0.0,3,4,396148.6853676818,76586.02764620335,319562.65772147855,0.008000000000000002,27850442.50378433,0,0,0,0,370104.49610183627
17,17,15869.485877515739,14699.230769230771,4161.911954621178,0.0,1,3,380984.0373571567,108157.75874699379,272826.278610163,0.008000000000000002,27846280.59182971,0,0,0,0,824940.8424339291
18,18,15869.485877515739,14699.230769230771,4239.0515887626025,0.0,2,1,380984.0373571567,119589.42206382519,261394.61529333147,0.008000000000000002,27842041.540240947,0,0,0,0,350577.34625796
19,19,15076.011583639951,14699.230769230771,4239.0515887626025,0.0,1,1,380984.0373571567,312146.2387382236,68837.79861893308,0.008000000000000002,27837802.488652185,0,0,0,0,475376.2488998963
20,20,14322.211004457953,14699.230769230771,4214.434629984577,0.0,2,1,396942.76957696525,312217.33876929263,84725.43080767264,0.008000000000000002,27833588.0540222,0,0,0,0,323144.0862491111
21,21,13606.100454235055,14699.230769230771,3633.2017971335877,0.0,3,1,413569.984224096,260816.01702941238,152753.9671946838,0.008000000000000002,27829954.852225065,0,0,0,0,900658.907308777
22,22,12925.795431523302,14699.230769230771,3228.639758422027,0.0,4,1,430893.68281831185,63956.411821168615,366937.2709971434,0.008000000000000002,27826726.212466646,0,0,0,0,248587.80024202462
23,23,12279.505659947135,14699.230769230771,3056.5909514831133,0.0,3,2,448943.0398123901,377856.5415839878,71086.49822840234,0.008000000000000002,27823669.621515162,0,0,0,0,373357.96468270564
24,24,11665.530376949779,14699.230769230771,3005.2324030362474,0.0,3,4,467748.4517241666,368330.45694179845,99417.99478236798,0.008000000000000002,27820664.389112126,0,0,0,0,430889.97628910764
25,25,11665.530376949779,14699.230769230771,2751.5894681726254,0.0,3,6,487341.58832662785,119864.57837772611,367477.00994890183,0.008000000000000002,27817912.799643952,0,0,0,0,415917.36381330655
26,26,11665.530376949779,14699.230769230771,2743.913527822697,0.0,4,6,487341.58832662785,79552.11855461229,407789.4697720156,0.008000000000000002,27815168.88611613,0,0,0,0,427917.06091640674
27,27,12248.806895797268,14699.230769230771,3342.172048134209,0.0,4,6,487341.58832662785,104972.42493415941,382369.1633924684,0.008000000000000002,27811826.714067996,0,0,0,0,690458.3878715187
28,28,12861.247240587132,14699.230769230771,3344.188355074398,0.0,6,6,468686.0584186989,150197.28860000888,318488.76981868997,0.008000000000000002,27808482.525712922,0,0,0,0,260482.74492993776
29,29,13504.30960261649,14699.230769230771,3467.085807016152,0.0,5,6,450744.6657904149,385697.99485776003,65046.670932654946,0.008000000000000002,27805015.439905904,0,0,0,0,444334.95553229057
30,30,14179.525082747314,14699.230769230771,3596.1281315549936,0.0,3,6,433490.07312910317,260082.0634351465,173408.00969395688,0.008000000000000002,27801419.31177435,0,0,0,0,343809.3568710825
31,31,14888.50133688468,14699.230769230771,3740.4922423505723,0.0,2,6,416895.9895996873,144050.23447152213,272845.7551281652,0.008000000000000002,27797678.819532,0,0,0,0,457529.1302858315
