,Step,Global_Price,Marginal_Cost,Cheapest_Active_Cost,Total_Processor_Inventory,Total_Mine_Output,Total_Recycled_Supply,Disrupted_Mines_Count,Mothballed_Mines_Count,Total_Consumer_Demand_Units,Fulfilled_Demand_Units,Unfulfilled_Demand_Units,Avg_Manufacturer_Intensity,Total_Reserves,Embargoed_Mines_Count,Total_Embargoed_Production,Total_Domestic_Stockpile,Closed_Chokepoints_Count,Total_In_Transit_Tons,Total_Product_Units_In_Transit
10,10,10096.35438627085,9900.0,6300.0,95949.61538461538,61192.3564428358,0.0,0,8,1715267.5408029498,246699.45377452046,1468568.0870284296,0.04,129689410.78689933,0,0.0,0.0,0,84234.36215555231,1187730.0668282239
11,11,10259.461556040544,9900.0,6300.0,95949.61538461538,61676.840553678325,0.0,1,8,1717462.449728023,290938.8804715504,1426523.5692564726,0.04,129671331.21233244,0,0.0,0.0,0,117175.02060390238,1325418.9758313675
12,12,10454.498899726474,9900.0,6300.0,95949.61538461538,62372.10040295101,0.0,2,8,1719592.1182131656,244616.3423165736,1474975.7758965911,0.04,129653514.52771275,0,0.0,0.0,0,141256.48321741313,1304644.450531484
13,13,10760.822986168982,9900.0,6300.0,95949.61538461538,43652.462053962554,0.0,5,8,1721683.2303618276,217521.1336431944,1504162.0967186333,0.04,129654237.09165655,0,0.0,0.0,0,90869.40547726277,1153898.0580331532
14,14,11164.682076370415,9900.0,6300.0,95949.61538461538,44487.70601981441,0.0,4,8,1723640.9351804557,389986.455523926,1333654.4796565296,0.04,129654153.86905742,0,0.0,0.0,0,96920.09447076853,943671.5026689182
15,15,11653.9979104087,9900.0,6300.0,95949.61538461538,45580.70889161035,0.0,5,8,1725481.327598711,530028.6285185274,1195452.6990801832,0.04,129653938.59866615,0,0.0,0.0,0,118469.75317087425,980271.5821429236
16,16,12237.198411402738,9900.0,6300.0,95949.61538461538,44235.79427480674,0.0,5,8,1727218.610188803,336305.02638930996,1390913.583799493,0.04,129652999.21054359,0,0.0,0.0,0,102830.14004616052,1283317.8274503811
17,17,12857.254525419683,9900.0,6300.0,95949.61538461538,52329.71125485336,0.0,4,8,1728842.548048107,218240.0401347523,1510602.5079133543,0.04,129644499.09111996,0,0.0,0.0,0,119577.12601896288,1227452.3846751398
18,18,13366.393154922114,9900.0,6300.0,95949.61538461538,71157.08551705246,0.0,3,8,1730421.2193412692,288641.76333877095,1441779.4560024985,0.04,129617201.1455999,0,0.0,0.0,0,125701.96584433793,1088177.4916642776
19,19,13740.297782144671,9900.0,6300.0,95949.61538461538,74859.85978649776,0.0,3,8,1732131.3746511075,324576.26929606876,1407555.1053550388,0.04,129586229.99670553,0,0.0,0.0,0,99907.81253589762,1205982.3582060789
20,20,13978.741531762347,9900.0,6300.0,95949.61538461538,76431.0198716754,0.0,2,8,1734002.3232936487,360868.7674394526,1373133.5558541962,0.04,129553717.28136794,0,0.0,0.0,0,103619.9358909409,931327.9504284112
21,21,13942.262145647326,9900.0,6300.0,95949.61538461538,78146.25582357224,0.0,2,8,1736034.6831284615,360955.0025961721,1375079.68053229,0.04,129519015.28625968,0,0.0,0.0,0,113900.53230992153,804890.1564322155
22,22,13683.416856733573,9900.0,6300.0,95949.61538461538,78051.87746733721,0.0,2,8,1738396.2656451536,402712.44153162005,1335683.8241135334,0.04,129484437.30869582,0,0.0,0.0,0,77972.93400516234,806108.865063029
23,23,13262.451419224224,9900.0,6300.0,95949.61538461538,77037.91865966543,0.0,2,8,1741025.2608396076,365651.90112715296,1375373.3597124554,0.04,129450902.95192719,0,0.0,0.0,0,99635.90689159924,686441.1149218756
24,24,12724.097424275165,9900.0,6300.0,95949.61538461538,75147.25482695777,0.0,3,8,1743850.5023672862,255137.83616414646,1488712.66620314,0.04,129419288.94379568,0,0.0,0.0,0,119192.41719508333,721429.3728539428
25,25,12156.047102498758,9900.0,6300.0,95949.61538461538,72978.6879986773,0.0,2,8,1746819.173047296,261862.88956368188,1484956.2834836142,0.04,129389873.21013138,0,0.0,0.0,0,94947.81783684986,893991.3451732007
