,Step,Global_Price,Total_Processor_Inventory,Total_Mine_Output,Total_Recycled_Supply,Disrupted_Mines_Count,Total_Consumer_Demand,Fulfilled_Demand,Unfulfilled_Demand,Avg_Manufacturer_Intensity,Total_Reserves,Embargoed_Mines_Count,Total_Embargoed_Production,Total_Domestic_Stockpile
29,29,19679.625,11020.615384615385,0.0,0.0,1,32073.29735391315,32073.29735391315,0.0,0.08,27383384.615384605,0,0.0,0.0
30,30,19679.625,11051.282451923078,1930.769230769231,102.60216346153845,1,32073.29735391315,32073.29735391315,0.0,0.08,27380484.99999998,0,0.0,0.0
31,31,19679.625,11020.615384615385,0.0,117.86776023076933,2,32073.29735391315,30842.530482318925,1230.7668715942214,0.08,27377668.076923065,0,0.0,0.0
32,32,19679.625,11020.615384615385,1461.5384615384614,307.0347949315924,3,32073.29735391315,25371.804727418777,6701.492626494353,0.08,27374858.46153844,0,0.0,0.0
33,33,19679.625,11020.615384615385,442.30769230769226,362.1200655083667,3,32073.29735391315,30892.06491323883,1181.2324406743153,0.08,27372048.84615383,0,0.0,0.0
34,34,19679.625,11020.615384615385,1211.5384615384614,342.37967702157914,1,32073.29735391315,24190.57228674446,7882.725067168669,0.08,27369239.23076921,0,0.0,0.0
35,35,19679.625,11020.615384615385,1494.0923076923077,200.07965149897274,0,32073.29735391315,25794.23715444012,6279.060199473012,0.08,27364654.615384597,0,0.0,0.0
36,36,19679.625,11772.283076923077,346.15384615384613,268.48109380666506,0,32073.29735391315,32073.29735391315,0.0,0.08,27360062.69230768,0,0.0,0.0
37,37,19679.625,11020.615384615385,2169.092307692308,486.7443606429864,0,32073.29735391315,22620.807236876204,9452.49011703692,0.08,27355470.769230757,0,0.0,0.0
38,38,19679.625,11020.615384615385,1730.7692307692307,486.7443606429864,0,32073.29735391315,32073.29735391315,0.0,0.08,27350878.84615383,0,0.0,0.0
