,Step,Global_Price,Marginal_Cost,Cheapest_Active_Cost,Total_Processor_Inventory,Total_Mine_Output,Total_Recycled_Supply,Disrupted_Mines_Count,Mothballed_Mines_Count,Total_Consumer_Demand_Units,Fulfilled_Demand_Units,Unfulfilled_Demand_Units,Avg_Manufacturer_Intensity,Total_Reserves,Embargoed_Mines_Count,Total_Embargoed_Production,Total_Domestic_Stockpile,Closed_Chokepoints_Count,Total_In_Transit_Tons,Total_Product_Units_In_Transit
10,10,11215.499175609186,10800.0,6300.0,122649.23099392412,53847.712717675764,0.0,5,0,1714200.6359702596,618984.631982041,1095216.0039882192,0.04,129682270.45972757,0,0,0,0,338368.0505158628,2135049.3377995505
11,11,11577.10402318161,10800.0,6300.0,122747.91001215979,62739.658599321694,0.0,4,0,1716131.6890006354,936499.4046498587,779632.2843507763,0.04,129657766.60397261,0,0,0,0,378175.5738441638,2610537.0078819185
12,12,11939.918089367686,10800.0,6300.0,122839.87416753297,64077.14406444049,0.0,4,0,1718023.8982703472,1305459.1357295432,412564.76254080294,0.04,129631954.67490856,0,0,0,0,335077.2978719736,2128148.671924427
13,13,12507.3151989297,12600.0,6300.0,122932.19205661742,59709.73041506086,0.0,3,0,1719913.7682552002,618390.3872650089,1101523.380990191,0.04,129610539.59427467,0,0,0,0,336825.66617477976,2855197.2330620806
14,14,13044.912060458317,12600.0,6300.0,123043.90886788462,63260.77915429491,0.0,2,0,1721559.19865842,648455.2764969089,1073103.9221615114,0.04,129585602.92232445,0,0,0,0,301932.53733244824,1995943.4078079718
15,15,13564.760361746465,12600.0,6300.0,123156.05236244434,52980.13155886116,0.0,3,0,1723238.935432099,756026.7332139272,967212.2022181712,0.04,129570976.37805212,0,0,0,0,378396.9025763348,4302355.704696368
16,16,14044.09903643934,12600.0,6300.0,123241.05625211183,54640.330356758815,0.0,2,0,1724938.6700909901,722085.547652435,1002853.1224385556,0.04,129554719.13774134,0,0,0,0,314888.6219243781,2364586.517129527
17,17,14473.87063533289,12600.0,6300.0,123336.90331241251,56064.0656837397,0.0,2,0,1726685.5633642033,1668506.637653753,58178.92571045075,0.04,129537067.68755747,0,0,0,0,321566.40333170525,2124881.77440921
18,18,14780.147252542552,12600.0,6300.0,123430.58253945936,66057.49234322774,0.0,2,0,1728490.4971927572,1677103.2159699753,51387.28122278144,0.04,129509452.35887988,0,0,0,0,323929.1870050293,1831797.4096376311
19,19,15030.351672021634,12600.0,6300.0,123514.12580842953,67207.82996888907,0.0,2,0,1730441.8225665342,1227522.9668527506,502918.85571378306,0.04,129480716.26347175,0,0,0,0,364150.2837477411,2410764.551231869
20,20,14868.21430354534,9900.0,6300.0,123609.49720815623,68158.44585011802,0.0,0,0,1732459.3465806583,717724.5493469852,1014734.7972336736,0.04,129451059.14582437,0,0,0,0,342368.33286954055,2220948.4489433877
21,21,14559.08201745489,9900.0,6300.0,123700.28301890523,82730.27510831403,0.0,0,0,1734969.4698831765,870046.6160300381,864922.8538531392,0.04,129406859.8153251,0,0,0,0,442556.51698109094,4190528.073775999
22,22,14166.271647147389,9900.0,6300.0,123782.8398249861,81428.83047051416,0.0,0,0,1737656.3751496824,802733.7520980265,934922.6230516565,0.04,129363991.5686518,0,0,0,0,333780.4311295369,2146204.712427342
23,23,13656.569430386451,9900.0,6300.0,123898.90057205755,79755.54014300597,0.0,0,0,1740444.9756118818,1612196.7016428981,128248.27396898366,0.04,129322826.27429353,0,0,0,0,359707.7870937173,2488330.942048716
24,24,13484.24773008248,12600.0,6300.0,123987.49529221852,63988.961062037306,0.0,1,0,1743375.8582898956,1670318.3523940395,73057.50589585632,0.04,129297457.24382068,0,0,0,0,372410.1587576995,2516283.3965914645
25,25,13295.166448241218,12600.0,6300.0,124072.68906464876,62978.85337990093,0.0,2,0,1745901.9449808493,1592659.6426323142,153242.3023485351,0.04,129273128.0286689,0,0,0,0,364227.16921659646,2161591.497114238
26,26,13153.368092359162,12600.0,6300.0,124174.08435324075,62342.95851172236,0.0,2,0,1748448.8865247667,1463619.4070305426,284829.4794942243,0.04,129249464.43887623,0,0,0,0,328468.95432227955,2016189.9340124761
